time_stamp [milli-sec],actor_1_x,actor_1_y
98908,5.855049112128585,1.7181531775730694
99017,5.973272073369563,1.7055124457412114
99118,6.217969967526954,1.677406856470148
99221,6.558699547844325,1.6766513838440495
99323,6.794034076713306,1.710730283413446
99426,6.954470032060957,1.7079329579977136
99530,7.033082467212594,1.6981426934304302
99631,7.021709895717744,1.6884939794247384
99737,6.907661124524319,1.682529415933147
99839,6.675638740898052,1.6963291817729718
99942,6.328266622684828,1.7300820650357802
100043,5.9717039197122235,1.716855436708994
100147,5.859329706072507,1.6820361265123873
100251,5.735126209452067,1.675606377326416
100353,5.599908174638896,1.675301069350334
100469,5.454404209662381,1.6793747178874887
100570,5.300329942371806,1.696171019012258
100677,5.137177130970931,1.714807914976657
100780,4.90455840586708,1.7310014366399165
100881,4.781143736672678,1.729938241397883
100984,4.583768242735384,1.6933795078014324
101087,4.313037993421596,1.674865544631653
101188,4.1043695405574985,1.6783008686920655
101289,3.891847121596082,1.6998799156078945
101392,3.7470470662361084,1.7169439625483978
101496,3.523235593733387,1.730970283675725
101597,3.3693490661533003,1.7281790558223051
101698,3.1295840007893587,1.6836461488907966
101801,2.8903880617359015,1.6748973598096113
101903,2.729839467886094,1.6783328319680317
102004,2.487777744689262,1.7025432822118243
102106,2.242215796215815,1.7287374199173533
102210,1.9917241941188932,1.728249881570242
102314,1.7370531925035244,1.6816209966269104
102416,1.4836268558113799,1.6752483541572334
102518,1.2297721745812398,1.6896662754521299
102621,0.889857322131875,1.7281357743495207
102724,0.6346342988890002,1.7289197991928906
102827,0.38184895471420877,1.6829971154378833
102932,0.12976952941631711,1.6744012925963603
103038,-0.12180108803448829,1.6879188149805218
103139,-0.2892062251840885,1.7059331573208592
103241,-0.5384861023066789,1.7303283805296303
103349,-0.782359640887685,1.7264317945393164
103452,-1.0177355738338199,1.6809520135114762
103554,-1.2529762797967645,1.6752187980852706
103655,-1.4858976433789146,1.6873797496384009
103758,-1.7158220767482535,1.7132839077026825
103879,-1.9391729709554646,1.7308251894317563
103980,-2.2224288697204795,1.7209119249231333
104083,-2.4216046284583195,1.6785074886689073
104184,-2.6193096550841304,1.6749304793249966
104285,-2.8108755947974142,1.682692470039049
104388,-2.995621903896815,1.7020620758952225
104491,-3.2274748001472076,1.7276681085364785
104594,-3.335683977614036,1.731084600820436
104698,-3.4887363407447767,1.728518970333796
104799,-3.674038235399831,1.69061481189422
104902,-3.8023683482308757,1.6778924451816408
105003,-3.9200288796052916,1.6744949959263358
105106,-4.1256482668722025,1.677979499096698
105209,-4.509753575483186,1.7195114177857935
105312,-4.746251401745757,1.7263874057113355
105417,-4.866127362061402,1.7164051128463025
105519,-4.870880497765778,1.703063232117454
105622,-4.812368999701002,1.7016866387217817
105728,-4.674710061655397,1.7131828115323535
105831,-4.550697637471909,1.719917800438334
105943,-4.336794944859812,1.7207849866684295
106045,-4.1146787974348955,1.700679495502569
106151,-3.951497924677307,1.6817095410931995
106254,-3.823587865627787,1.6705737405897823
106373,-3.6109148376897764,1.670691701590432
106485,-3.349578458321964,1.715890125569325
106586,-3.13570486040446,1.725150004719751
106688,-2.986310078484159,1.7229768676249861
106789,-2.755062382213094,1.701903979036645
106896,-2.5145044319592884,1.6747058709209222
106997,-2.1778925165839658,1.6741873898633532
107099,-1.918186862204843,1.7205918603293364
107203,-1.6647843266629891,1.7245926561646634
107305,-1.4164032778813576,1.706239111864741
107411,-1.1742802998829371,1.6778632950248267
107512,-1.0179064070543995,1.6689202542630905
107613,-0.7945703093772739,1.6743771755409698
107715,-0.5894076765716678,1.7179195002896461
107816,-0.40188371822446606,1.7256588083180153
107920,-0.18578314895266693,1.7207372866260118
108022,-0.09462051145781114,1.7120547967326274
108123,0.03468301656753159,1.698077126456088
108225,0.18322700410567147,1.6899161665238536
108326,0.2610628346677616,1.705166888456775
108428,0.282950197160365,1.7329260918980924
108531,0.24806519956835638,1.7734529189353576
108632,0.1910771817240112,1.7983535948845848
108739,0.12299969034616022,1.8122127729243076
108840,0.05753850064560869,1.8087479087698919
108943,0.007527584206438412,1.7812897382957182
109045,0.007855192100837093,1.72415441343091
109147,0.01759061009294724,1.6254390485718004
109248,0.02547186478344437,1.4262680083731254
109355,0.024065120909682276,1.3052182925547544
109462,0.010061106387879768,1.1057176867038057
109568,-0.015504258259126805,0.8925955690406625
109680,-0.031377685800193386,0.6047759205298577
109784,-0.021098411457145746,0.4028810582248743
109886,0.019288579235552283,0.22715400313976042
109990,0.025444829301397756,0.08224106469639943
110091,0.02512030561534381,-0.01985392517408028
110195,0.03538386995095518,-0.08356426295038308
110296,0.06376242339480455,-0.12350966061147085
110398,0.08083975024133014,-0.12790508863169445
110501,0.10468495509870153,-0.11898199477888259
110602,0.12348456393422311,-0.09729133352542524
